theta (rad),r (-),radial mach,tangential mach,mach number,x,y
0.785398,1.000000,1.000000,-1.000000,1.414214,0.707107,0.707107
0.785693,0.999706,0.999705,-1.000380,1.414274,0.706690,0.707107
0.785987,0.999412,0.999411,-1.000702,1.414294,0.706274,0.707107
0.786282,0.999118,0.999116,-1.001018,1.414309,0.705858,0.707107
0.786576,0.998824,0.998821,-1.001330,1.414322,0.705443,0.707107
0.786871,0.998531,0.998526,-1.001640,1.414333,0.705027,0.707107
0.787165,0.998238,0.998231,-1.001949,1.414343,0.704612,0.707107
0.787460,0.997945,0.997936,-1.002256,1.414353,0.704197,0.707107
0.787754,0.997652,0.997641,-1.002562,1.414361,0.703783,0.707107
0.788049,0.997360,0.997345,-1.002868,1.414370,0.703368,0.707107
0.788343,0.997068,0.997050,-1.003172,1.414377,0.702954,0.707107
0.788638,0.996776,0.996754,-1.003476,1.414385,0.702540,0.707107
0.788932,0.996485,0.996459,-1.003780,1.414392,0.702127,0.707107
0.789227,0.996194,0.996163,-1.004083,1.414399,0.701713,0.707107
0.789522,0.995903,0.995867,-1.004385,1.414405,0.701300,0.707107
0.789816,0.995612,0.995572,-1.004687,1.414411,0.700887,0.707107
0.790111,0.995322,0.995276,-1.004989,1.414418,0.700474,0.707107
0.790405,0.995031,0.994980,-1.005291,1.414423,0.700062,0.707107
0.790700,0.994742,0.994683,-1.005592,1.414429,0.699650,0.707108
0.790994,0.994452,0.994387,-1.005892,1.414435,0.699238,0.707108
0.791289,0.994162,0.994091,-1.006193,1.414440,0.698826,0.707108
0.791583,0.993873,0.993795,-1.006493,1.414445,0.698414,0.707108
0.791878,0.993584,0.993498,-1.006793,1.414451,0.698003,0.707108
0.792172,0.993296,0.993201,-1.007093,1.414456,0.697592,0.707108
0.792467,0.993007,0.992905,-1.007392,1.414461,0.697181,0.707108
0.792761,0.992719,0.992608,-1.007691,1.414465,0.696771,0.707108
0.793056,0.992431,0.992311,-1.007990,1.414470,0.696361,0.707108
0.793350,0.992144,0.992014,-1.008289,1.414475,0.695951,0.707108
0.793645,0.991856,0.991717,-1.008587,1.414479,0.695541,0.707108
0.793939,0.991569,0.991420,-1.008886,1.414484,0.695131,0.707108
0.794234,0.991282,0.991123,-1.009184,1.414488,0.694722,0.707108
0.794528,0.990996,0.990826,-1.009482,1.414492,0.694313,0.707108
0.794823,0.990709,0.990528,-1.009779,1.414497,0.693904,0.707109
0.795117,0.990423,0.990231,-1.010077,1.414501,0.693495,0.707109
0.795412,0.990138,0.989933,-1.010374,1.414505,0.693087,0.707109
0.795707,0.989852,0.989636,-1.010672,1.414509,0.692679,0.707109
0.796001,0.989567,0.989338,-1.010969,1.414513,0.692271,0.707109
0.796296,0.989281,0.989040,-1.011265,1.414517,0.691863,0.707109
0.796590,0.988997,0.988742,-1.011562,1.414521,0.691456,0.707109
0.796885,0.988712,0.988444,-1.011859,1.414525,0.691049,0.707109
0.797179,0.988428,0.988146,-1.012155,1.414529,0.690642,0.707109
0.797474,0.988144,0.987848,-1.012451,1.414532,0.690235,0.707109
0.797768,0.987860,0.987550,-1.012747,1.414536,0.689828,0.707109
0.798063,0.987576,0.987252,-1.013043,1.414540,0.689422,0.707110
0.798357,0.987293,0.986953,-1.013339,1.414543,0.689016,0.707110
0.798652,0.987010,0.986655,-1.013635,1.414547,0.688610,0.707110
0.798946,0.986727,0.986356,-1.013930,1.414550,0.688205,0.707110
0.799241,0.986444,0.986057,-1.014225,1.414554,0.687799,0.707110
0.799535,0.986162,0.985759,-1.014521,1.414557,0.687394,0.707110
0.799830,0.985880,0.985460,-1.014816,1.414561,0.686989,0.707110
